station_id,source_id,source_name,country,latitude,longitude,elevation,element_id,start_date,end_date
204,100638,BIALYSTOK,PL,+53:06:26,+023:09:44,148,TX2,19510101,20230131
204,912295,BIALYSTOK,PL,+53:06:00,+023:10:00,151,TX7,19820112,20200229
205,100642,HEL,PL,+54:36:13,+018:48:43,1,TX2,19510101,20230131
205,912135,HEL,PL,+54:36:00,+018:49:00,3,TX7,19820112,20200229
206,100646,POZNAN,PL,+52:11:59,+018:39:37,115,TX2,19510101,20230131
206,912345,KOLO,PL,+52:12:00,+018:40:00,117,TX7,19820112,20200229
207,100650,RZESZOWJASIONKA,PL,+50:06:39,+022:02:32,206,TX2,19520101,20230131
207,912580,RZESZOW-JASIONKA,PL,+50:06:00,+022:03:00,201,TX7,19820112,20200229
208,100654,SZCZECIN,PL,+53:23:43,+014:37:22,1,TX2,19201201,20230131
208,912205,SZCZECIN,PL,+53:24:00,+014:37:00,7,TX7,19820114,20200229
209,100658,WARSZAWA-OKECIE,PL,+52:09:46,+020:57:40,107,TX2,19510101,20230131
209,239096,WARSZAWA-FILTRY,PL,+52:13:10,+020:59:57,91,TX2,20040101,20221231
209,912375,WARSZAWA-OKECIE,PL,+52:10:00,+020:58:00,106,TX7,19820112,20200229
210,100662,WROCLAW,PL,+51:06:12,+016:54:00,120,TX2,19510101,20230131
210,912424,WROCLAWII,PL,+51:06:00,+016:53:00,124,TX7,19820112,20200229
2022,106419,KOSZALIN,PL,+54:12:16,+016:09:19,33,TX2,19210126,20230131
2022,912105,KOSZALIN,PL,+54:12:00,+016:08:59,34,TX7,19820112,20200229
396,106465,ELBLAG,PL,+54:13:24,+019:32:37,189,TX2,19510101,20230131
2024,106480,SUWALKI,PL,+54:07:51,+022:56:56,184,TX2,19610101,20161231
2024,912195,SUWALKI,PL,+54:08:00,+022:57:00,186,TX7,19820114,20200229
696,106485,SWINOUJSCIE,PL,+53:55:24,+014:14:32,5,TX2,19510101,20230131
696,912200,SWINOUJSCIE,PL,+53:55:00,+014:14:00,5,TX7,19820112,20200229
2026,106503,CHOJNICE,PL,+53:42:55,+017:31:57,164,TX2,19510101,20230131
2026,912235,CHOJNICE,PL,+53:43:00,+017:33:00,172,TX7,19820114,20200229
2027,106517,TORUN,PL,+53:02:31,+018:35:44,69,TX2,19510101,20230131
2027,912250,TORUN,PL,+53:03:00,+018:35:00,72,TX7,19820112,20200229
2028,106532,MLAWA,PL,+53:06:15,+020:21:40,147,TX2,19610101,20230131
2028,912270,MLAWA,PL,+53:06:00,+020:21:00,149,TX7,19820114,20200229
752,106577,OLSZTYN,PL,+53:46:07,+020:25:17,133,TX2,19510101,20230131
752,912272,OLSZTYN,PL,+53:46:00,+020:25:00,137,TX7,19820113,20200229
2029,106582,GORZOWWLKP,PL,+52:44:28,+015:16:38,71,TX2,19510101,20230131
2029,912300,GORZOWWLKP,PL,+52:45:00,+015:17:00,73,TX7,19820114,20200229
779,106598,SLUBICE,PL,+52:20:55,+014:37:11,53,TX2,19510101,20230131
779,122390,FRANKFURT/ODER,DE,+52:21:55,+014:32:16,48,TX3,19470101,19841231
333,106611,SIEDLCE,PL,+52:10:52,+022:14:41,152,TX2,19510101,20230131
333,912385,SIEDLCE,PL,+52:15:00,+022:15:00,155,TX7,19820115,20200229
922,106620,TERESPOL,PL,+52:04:43,+023:37:19,133,TX2,19550101,20230131
922,912399,TERESPOL,PL,+52:04:00,+023:37:00,137,TX7,19820112,20200229
2031,106640,ZIELONAGORA,PL,+51:55:48,+015:31:29,192,TX2,19510101,20230131
2031,912400,ZIELONAGORA,PL,+51:56:00,+015:32:00,192,TX7,19820112,20200229
923,106648,LESZNO,PL,+51:50:08,+016:32:05,91,TX2,19580101,20230131
923,912418,LESZNO,PL,+51:50:00,+016:32:00,92,TX7,19820112,20200229
924,106662,WIELUN,PL,+51:12:37,+018:33:24,199,TX2,19510101,20230131
924,912455,WIELUN,PL,+51:13:00,+018:34:00,201,TX7,19820112,20200229
926,106666,SULEJOW,PL,+51:21:12,+019:51:59,188,TX2,19610501,20230131
926,912469,SULEJOW,PL,+51:21:00,+019:52:00,189,TX7,19820114,20200229
927,107078,WLODAWA,PL,+51:33:12,+023:31:46,177,TX2,19510101,20230131
927,912497,WLODAWA,PL,+51:33:00,+023:32:00,179,TX7,19820113,20200229
